year,cuisine,tier,count
2024,South-east Asia,2,31
2024,South-east Asia,3,110
2024,South-east Asia,4,40
2024,Taiwan,1,136
2024,Taiwan,2,66
2024,Taiwan,3,187
2024,Taiwan,4,88
2024,Thai,1,126
2024,Thai,2,57
2024,Thai,3,223
2024,Thai,4,85
2024,Vietnamese,1,42
2024,Vietnamese,2,13
2024,Vietnamese,3,34
2024,Vietnamese,4,16
2024,Western,1,1721
2024,Western,2,497
2024,Western,3,1456
2024,Western,4,593
2025,Hong Kong Style,1,855
2025,Hong Kong Style,2,435
2025,Hong Kong Style,3,2101
2025,Hong Kong Style,4,1126
2025,Japanese,1,798
2025,Japanese,2,281
2025,Japanese,3,642
2025,Japanese,4,232
2025,Korean,1,147
2025,Korean,2,38
2025,Korean,3,109
2025,Korean,4,28
2025,Mainland China,1,942
2025,Mainland China,2,414
2025,Mainland China,3,1562
2025,Mainland China,4,756
2025,Other,1,82
2025,Other,2,12
2025,Other,3,66
2025,Other,4,19
2025,South-east Asia,1,92
2025,South-east Asia,2,31
2025,South-east Asia,3,111
2025,South-east Asia,4,40
2025,Taiwan,1,129
2025,Taiwan,2,74
2025,Taiwan,3,197
2025,Taiwan,4,97
2025,Thai,1,130
2025,Thai,2,61
2025,Thai,3,235
2025,Thai,4,96
2025,Vietnamese,1,44
2025,Vietnamese,2,16
2025,Vietnamese,3,39
2025,Vietnamese,4,13
2025,Western,1,1693
2025,Western,2,511
2025,Western,3,1479
2025,Western,4,604
